child_id,parent_id,generation
450058bf596216e2,ac0b47c0a84bcb76,1
c0d2daaccdeaba44,ae21375090501c7e,1
450058bf596216e2,ac0b47c0a84bcb76,1
82f3fce74ec98490,ae21375090501c7e,1
4b707f0844df4fae,ae21375090501c7e,1
bb7b1515476e4a4d,82f3fce74ec98490,2
552f3ce2c5734164,c0d2daaccdeaba44,2
7afa6ab730a8e6b7,82f3fce74ec98490,2
a8414fdc3831bfce,c0d2daaccdeaba44,2
aa4a70822196f0eb,ae21375090501c7e,2
4391f31e05216ee5,ae21375090501c7e,3
c3e34a79f4f92627,552f3ce2c5734164,3
97fd147c127856ac,552f3ce2c5734164,3
045a1a529d19916d,c0d2daaccdeaba44,3
5c94a4bbaefcb703,ae21375090501c7e,3
1e755d188746935d,97fd147c127856ac,4
f8d0817fb75b748e,97fd147c127856ac,4
d25215d883afce00,ae21375090501c7e,4
147c41399011b7a1,ae21375090501c7e,4
d3b122296bf53b24,97fd147c127856ac,4
2df3f9133832abd7,f8d0817fb75b748e,5
880b48265b794cc7,d3b122296bf53b24,5
cd09ff63d8c5d03a,d3b122296bf53b24,5
af474c3f764e5aa9,d3b122296bf53b24,5
2992a3523003c709,97fd147c127856ac,5
4c6ba626e33f2efe,2992a3523003c709,6
c884f0ff4d20397c,af474c3f764e5aa9,6
bee0246a18a4ac3c,97fd147c127856ac,6
5b3cef91dd581528,af474c3f764e5aa9,6
a20e85aedd4c9a8c,97fd147c127856ac,6
