arch_id,generation,val_accuracy,param_count,flops,latency
84b65b427e703312,0,0.3024,22922,26313344,0.0
ac0b47c0a84bcb76,0,0.384,26858,14877312,0.0
ae21375090501c7e,0,0.49,79082,33030784,1.0001659393310547
a3dbd21f444385b8,0,0.3754,253066,516686464,1.001119613647461
d300328c043ece9e,0,0.3798,34554,22446400,0.9996891021728516
53be88741e9d0039,0,0.3616,109322,183763264,0.0
f27dc337145f5e3d,0,0.3046,11162,21333248,0.0
ed8aa74f3455cc0f,0,0.3162,106282,57346560,0.0
ae21375090501c7e,1,0.4946,79082,33030784,1.0001659393310547
ac0b47c0a84bcb76,1,0.3856,26858,14877312,0.0
f27dc337145f5e3d,1,0.3016,11162,21333248,0.0
27209cc0c3356b1d,1,0.3114,10394,19760384,0.0
6f730b141cd8ff13,1,0.4856,79082,33030784,0.0
1180e1e8038139c2,1,0.3344,48922,21407744,0.0
82f3fce74ec98490,1,0.5014,52554,18154112,0.9984970092773438
4b707f0844df4fae,1,0.4634,84266,33040896,0.9989738464355469
82f3fce74ec98490,2,0.4914,52554,18154112,0.0
6f730b141cd8ff13,2,0.4862,79082,33030784,0.0
ac0b47c0a84bcb76,2,0.3978,26858,14877312,0.0
c5566a2461a27ec0,2,0.3858,32042,14887424,0.9992122650146484
6102e84c8acc2143,2,0.4606,79082,33030784,1.001119613647461
a97ea2ccd260af10,2,0.442,52490,18154112,0.0
10b92907ae4c0eae,2,0.4612,79082,33030784,0.0
7afa6ab730a8e6b7,2,0.4746,78186,18973312,0.0
82f3fce74ec98490,3,0.4918,52554,18154112,0.0
a97ea2ccd260af10,3,0.443,52490,18154112,0.9987354278564453
ac0b47c0a84bcb76,3,0.3634,26858,14877312,0.0
85597a60c5910928,3,0.4478,52490,18154112,1.0004043579101562
af2fd12268a0d68f,3,0.4044,26922,14877312,0.0
7afa6ab730a8e6b7,3,0.5136,78186,18973312,0.99945068359375
98831f3ccafe7968,3,0.345,26858,14877312,0.9999275207519531
8b50e68c4b3845eb,3,0.4682,54090,21299840,0.99945068359375
7afa6ab730a8e6b7,4,0.516,78186,18973312,0.0
af2fd12268a0d68f,4,0.444,26922,14877312,0.0
ac0b47c0a84bcb76,4,0.3666,26858,14877312,0.0
b52cb9a70088c03e,4,0.4714,78154,18973312,0.0
28f49b4b19ea79e3,4,0.3808,26922,14877312,0.0
f264e6a7135bcda5,4,0.423,26922,14877312,0.0
37c304df9e809bdf,4,0.528,78186,70582912,0.0
9905e5ccdb375bca,4,0.4062,26858,14877312,0.0
37c304df9e809bdf,5,0.5066,78186,70582912,0.99945068359375
7afa6ab730a8e6b7,5,0.5188,78186,18973312,0.9999275207519531
af2fd12268a0d68f,5,0.4028,26922,14877312,0.0
272b96cd73254674,5,0.482,78186,31261312,1.0113716125488281
2d7b42018e67810d,5,0.4638,52554,10781312,1.0001659393310547
b796309e0340907d,5,0.498,103818,19178112,0.9996891021728516
c55d18d900b1d134,5,0.5172,78218,70582912,0.0
1fffc5d698b3b865,5,0.4672,52554,67306112,0.0
