arch_id,generation,val_accuracy,param_count,flops,latency
84b65b427e703312,0,0.3024,22922,26313344,0.0
ac0b47c0a84bcb76,0,0.384,26858,14877312,0.0
ae21375090501c7e,0,0.49,79082,33030784,0.0
a3dbd21f444385b8,0,0.3754,253066,516686464,0.0
d300328c043ece9e,0,0.3798,34554,22446400,0.0
53be88741e9d0039,0,0.3616,109322,183763264,0.0
f27dc337145f5e3d,0,0.3046,11162,21333248,0.0
ed8aa74f3455cc0f,0,0.3162,106282,57346560,0.0
ae21375090501c7e,1,0.4946,79082,33030784,0.5071163177490234
ac0b47c0a84bcb76,1,0.3856,26858,14877312,0.0
f27dc337145f5e3d,1,0.3016,11162,21333248,0.0
27209cc0c3356b1d,1,0.3114,10394,19760384,0.0
6f730b141cd8ff13,1,0.4856,79082,33030784,0.0
1180e1e8038139c2,1,0.3344,48922,21407744,0.0
82f3fce74ec98490,1,0.5014,52554,18154112,0.0
4b707f0844df4fae,1,0.4634,84266,33040896,0.0
82f3fce74ec98490,2,0.4914,52554,18154112,0.9977817535400391
ac0b47c0a84bcb76,2,0.393,26858,14877312,0.0
27209cc0c3356b1d,2,0.322,10394,19760384,1.0001659393310547
52dfac4b4f63d02e,2,0.3176,19354,19778048,1.0097026824951172
0600d622c3b22f53,2,0.3794,26858,14877312,0.0
5bfd2489f87b2775,2,0.3546,47322,38634752,0.9999275207519531
9905e5ccdb375bca,2,0.3822,26858,14877312,0.0
4b08e27e8b5dfb9e,2,0.469,36170,9765504,1.0004043579101562
82f3fce74ec98490,3,0.4558,52554,18154112,0.99945068359375
4b08e27e8b5dfb9e,3,0.457,36170,9765504,1.0006427764892578
27209cc0c3356b1d,3,0.3112,10394,19760384,1.0323524475097656
f12dd014296d1e86,3,0.4898,36170,9765504,0.0
af2fd12268a0d68f,3,0.4182,26922,14877312,1.0223388671875
7afa6ab730a8e6b7,3,0.4998,78186,18973312,1.0013580322265625
92edc9353271d1de,3,0.311,10394,19760384,0.0
8b50e68c4b3845eb,3,0.469,54090,21299840,0.0
7afa6ab730a8e6b7,4,0.5356,78186,18973312,0.9999275207519531
f12dd014296d1e86,4,0.4616,36170,9765504,0.0
27209cc0c3356b1d,4,0.3,10394,19760384,0.0
b52cb9a70088c03e,4,0.5202,78154,18973312,0.0
c8cc91b194abafea,4,0.422,36170,19595904,0.9999275207519531
b3b521d32f1203eb,4,0.4734,36170,9765504,0.0
37c304df9e809bdf,4,0.508,78186,70582912,0.99945068359375
ff72594f531cbc36,4,0.3046,10394,19760384,0.0
7afa6ab730a8e6b7,5,0.5258,78186,18973312,0.9708404541015625
b3b521d32f1203eb,5,0.4218,36170,9765504,1.010894775390625
ff72594f531cbc36,5,0.2894,10394,19760384,0.9996891021728516
87117602d9972429,5,0.4736,61802,10584704,0.9996891021728516
9af0d45e269d8081,5,0.3178,28954,19796992,0.0
b52cb9a70088c03e,5,0.4986,78154,18973312,0.9741783142089844
87117602d9972429,5,0.4834,61802,10584704,1.009225845336914
fcdca5d9c8b4c888,5,0.558,78218,18973312,0.0
